name,team,pick_num,year_drafted,id
Jameis Winston,Tampa Bay Buccaneers,1,2015,1
Marcus Mariota,Tennessee Titans,2,2015,2
Blake Bortles,Jacksonville Jaguars,3,2014,3
Andrew Luck,Indianapolis Colts,1,2012,4
Robert Griffin,Washington Redskins,2,2012,5
Ryan Tannehill,Miami Dolphins,8,2012,6
Cam Newton,Carolina Panthers,1,2011,7
Jake Locker,Tennessee Titans,8,2011,8
Blaine Gabbert,Jacksonville Jaguars,10,2011,9
Sam Bradford,St. Louis Rams,1,2010,10
Matthew Stafford,Detroit Lions,1,2009,11
Mark Sanchez,New York Jets,5,2009,12
Matt Ryan,Atlanta Falcons,3,2008,13
JaMarcus Russell,Oakland Raiders,1,2007,14
Vince Young,Tennessee Titans,3,2006,15
Matt Leinart,Arizona Cardinals,10,2006,16
Alex Smith,San Francisco 49ers,1,2005,17
Eli Manning,San Diego Chargers,1,2004,18
Philip Rivers,New York Giants,4,2004,19
Carson Palmer,Cincinnati Bengals,1,2003,20
Byron Leftwich,Jacksonville Jaguars,7,2003,21
David Carr,Houston Texans,1,2002,22
Joey Harrington,Detroit Lions,3,2002,23
Michael Vick,Atlanta Falcons,1,2001,24
Tim Couch,Cleveland Browns,1,1999,25
Donovan McNabb,Philadelphia Eagles,2,1999,26
Akili Smith,Cincinnati Bengals,3,1999,27
Peyton Manning,Indianapolis Colts,1,1998,28
Ryan Leaf,San Diego Chargers,2,1998,29
Steve McNair,Houston Oilers,3,1995,30
Kerry Collins,Carolina Panthers,5,1995,31
Heath Shuler,Washington Redskins,3,1994,32
Trent Dilfer,Tampa Bay Buccaneers,6,1994,33
Drew Bledsoe,New England Patriots,1,1993,34
Rick Mirer,Seattle Seahawks,2,1993,35
David Klingler,Cincinnati Bengals,6,1992,36
Jeff George,Indianapolis Colts,1,1990,37
Andre Ware,Detroit Lions,7,1990,38
Troy Aikman,Dallas Cowboys,1,1989,39
Vinney Testaverde,Tampa Bay Buccaneers,1,1987,40
Kelly Stouffer,St. Louis Cardinals,6,1987,41
Jim Everett,Houston Oilers,3,1986,42
John Elway,Baltimore Colts,1,1983,43
Todd Blackledge,Kansas City Chiefs,7,1983,44
Art Schlinter,Baltimore Colts,4,1982,45
Jim McMahon,Chicago Bears,5,1982,46
Rich Campbell,Green Bay Packers,6,1981,47
