id,name,colors
1,Philadelphia Eagles,"{#004953,#A5ACAF,#ACC0C6,#000000,#565A5C}"
2,Carolina Panthers,"{#0085CA,#BFC0BF,#000000}"
3,St. Louis Rams,"{#002244,#B3995D}"
5,Detroit Lions,"{#005A8B,#B0B7BC,#000000}"
6,Seattle Seahawks,"{#002244,#A5ACAF,#69BE28}"
8,Houston Texans,"{#03202F,#A71930}"
11,Jacksonville Jaguars,"{#D7A22A,#006778,#000000,#9F792C}"
12,Arizona Cardinals,"{#97233F,#FFB612,#000000,#A5ACAF}"
13,St. Louis Cardinals,"{#97233F,#FFB612,#000000,#A5ACAF}"
14,Dallas Cowboys,"{#002244,#FFFFFF,#00338D,#B0B7BC}"
15,Green Bay Packers,"{#203731,#FFB612}"
16,Chicago Bears,"{#0B162A,#C83803}"
17,New England Patriots,"{#002244,#C60C30,#B0B7BC}"
18,Indianapolis Colts,"{#002C5F,#A5ACAF}"
19,Baltimore Colts,"{#002C5F,#A5ACAF}"
20,New York Giants,"{#0B2265,#A71930,#A5ACAF}"
21,Cleveland Browns,"{#FB4F14,#22150C,#A5ACAF}"
22,Atlanta Falcons,"{#A71930,#000000,#A5ACAF}"
23,Tennessee Titans,"{#002244,#C60C30,#4B92DB,#A5ACAF}"
24,New York Jets,"{#203731,#FFFFFF}"
25,Kansas City Chiefs,"{#E31837,#FFB612,#000000}"
27,San Francisco 49ers,"{#AA0000,#B3995D,#000000,#A5ACAF}"
28,San Diego Chargers,"{#002244,#0073CFF,#FFB612}"
29,Oakland Raiders,"{#A5ACAF,#000000}"
30,Cincinnati Bengals,"{#FB4F14,#000000}"
31,Miami Dolphins,"{#008E97,#F58220,#005778}"
32,Houston Oilers,"{#002244,#C60C30,#4B92DB,#A5ACAF}"
33,Tampa Bay Buccaneers,"{#D50A0A,#000000,#34302B,#FF7900,#B1BABF}"
34,Washington Redskins,"{#773141,#FFB612,#000000,#5B2B2F}"
